trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
189,False,"{'a': 0.9, 'e': 0.14964140560361563}",25,14,18.528448500553694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.9, 'e': 0.14814499154757946}",20,2,-21.59535470479255,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
191,False,"{'a': 0.9, 'e': 0.14666354163210368}",20,0,20.23548557929562,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
192,False,"{'a': 0.9, 'e': 0.14519690621578263}",20,0,24.665535069818443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
193,False,"{'a': 0.9, 'e': 0.1437449371536248}",20,0,-3.0028709398512206,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
194,False,"{'a': 0.9, 'e': 0.14230748778208857}",20,0,27.880070549811695,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
195,False,"{'a': 0.9, 'e': 0.14088441290426768}",25,14,21.566326152858167,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.9, 'e': 0.139475568775225}",25,13,-0.5703381421360598,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
197,False,"{'a': 0.9, 'e': 0.13808081308747275}",30,13,24.395863580352962,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.9, 'e': 0.136700004956598}",20,14,4.495355183438789,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.9, 'e': 0.13533300490703204}",25,16,18.48791362026664,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.9, 'e': 0.13397967485796172}",20,2,25.469309702398327,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.9, 'e': 0.1326398781093821}",25,11,-4.974273110200292,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
202,False,"{'a': 0.9, 'e': 0.13131347932828827}",20,15,9.84279350395424,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.9, 'e': 0.1300003445350054}",20,10,-21.84579537855822,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
204,False,"{'a': 0.9, 'e': 0.12870034108965533}",20,13,14.779228521799926,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.9, 'e': 0.1274133376787588}",30,6,21.76218426151257,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.9, 'e': 0.12613920430197118}",25,16,13.068241286392638,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.9, 'e': 0.12487781225895148}",30,0,32.0555896221931,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
208,False,"{'a': 0.9, 'e': 0.12362903413636196}",25,13,14.67035338090191,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
